label,paper_id,silo,algorithm_family_trace_only,faithfulness_tier,h4_eligible,anchor_profile,anchor_epsilon,bare_status,full_status,bare_runtime_seconds,full_runtime_seconds,runtime_tau,bare_t_count,full_t_count,t_count_regime,bare_t_depth,full_t_depth,t_depth_tau,full_num_tstates,delta_num_tstates,qdk_magic_delta_positive
SQ26,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ27,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ28,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ29,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ3,2a0770a1a995,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ30,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,9.360000000000001e-05,0.00018,1.923076923076923,0,0,zero_logical_t_count,4,8,2.0,1024.0,512.0,True
SQ31,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,9.810000000000001e-05,0.0001953,1.9908256880733943,0,0,zero_logical_t_count,4,8,2.0,1224.0,648.0,True
SQ32,f94276561f48,quantum-ml-finance,quantum-ml,proxy,False,maj_e6_floquet,1e-04,success,success,9.360000000000001e-05,0.00018,1.923076923076923,0,0,zero_logical_t_count,4,8,2.0,1024.0,512.0,True
SQ4,2a0770a1a995,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ5,2a0770a1a995,quantum-ml-finance,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ6,2a9cd8a96604,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SQ7,2fe0d0f15604,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,3.51e-05,8.010000000000001e-05,2.2820512820512824,0,0,zero_logical_t_count,2,5,2.5,165.0,75.0,True
SQ8,53a718c11ea8,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SQ9,53a718c11ea8,quantum-ml-finance,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
ST1,3adb18321a79,trading-execution,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
ST2,3adb18321a79,trading-execution,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SX1,7cfdb2957f6c,other,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,7.2e-05,0.0001476,2.0500000000000003,0,0,zero_logical_t_count,4,8,2.0,512.0,272.0,True
SX2,7cfdb2957f6c,other,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.460000000000001e-05,0.0001638,1.9361702127659572,0,0,zero_logical_t_count,4,8,2.0,768.0,384.0,True
SX3,7cfdb2957f6c,other,other-gate-based,paper-family-template,True,maj_e6_floquet,1e-04,success,success,7.2e-05,0.0001476,2.0500000000000003,0,0,zero_logical_t_count,4,8,2.0,512.0,272.0,True
SX4,7cfdb2957f6c,other,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,7.2e-05,0.0001476,2.0500000000000003,0,0,zero_logical_t_count,4,8,2.0,512.0,272.0,True
SX5,a2b747cae698,other,qaoa,paper-family-template,True,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SX6,a2b747cae698,other,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SX7,a2b747cae698,other,qaoa,proxy,False,maj_e6_floquet,1e-04,success,success,8.010000000000001e-05,0.00015570000000000002,1.9438202247191012,0,0,zero_logical_t_count,4,8,2.0,640.0,320.0,True
SX8,cd9329dc38ef,cryptography-security,other-gate-based,proxy,False,maj_e6_floquet,1e-04,success,success,0.0001116,0.00021960000000000003,1.9677419354838712,0,0,zero_logical_t_count,4,8,2.0,1632.0,864.0,True
